HH_ID,FOOD_PRE,FOOD_VFM,FOOD_ECO,CLEANO_PRE,CLEANO_VFM,CLEANO_ECO,PC_PRE,PC_VFM,PC_ECO,FOOD_TOT,CLEANO_TOT,PC_TOT,TOTAL
56,1913614.486,3555638.065,1096808.226,120937.5,378990.48,138695.06,54399.75,362456.13,527820.76,6566060.777,638623.04,944676.64,8149360.457
57,2057354.452,2478797.866,990569.6146,193740.44,109221.53,102977.99,57090.43,160372.96,136417.59,5526721.932,405939.96,353880.98,6286542.872
58,4405152.226,3540457.43,984918.1822,93741.94,262015.51,191188.2,239423.85,417802.745,277244.25,8930527.838,546945.65,934470.845,10411944.33
59,4958446.897,4432335.808,892029.7374,284335.28,256257.43,79367.18,1343662.51,682077.65,122399.31,10282812.44,619959.89,2148139.47,13050911.8
60,937016.6123,2561631.746,917617.5735,44155.7,72143.19,28608.15,111511.98,220048.68,34281.5,4416265.932,144907.04,365842.16,4927015.132
61,6049806.141,9870555.031,2212575.68,629232.8,779268.47,346293.37,648645.5,1909457.75,349134.44,18132936.85,1754794.64,2907237.69,22794969.18
62,3137959.916,2751539.954,484093.959,254405.34,344643.7,38004.06,196076.5,213255.06,37910.59,6373593.829,637053.1,447242.15,7457889.079
63,5414161.928,9514903.525,2615369.716,164418.65,532399.72,275423.21,965105.67,437039.48,481180.4025,17544435.17,972241.58,1883325.553,20400002.3
64,14425055.14,15035759.78,3095205.193,193959.3,546826.38,173579.07,905238.14,1601493.86,568624.41,32556020.11,914364.75,3075356.41,36545741.27
65,12632857.83,11610979.34,8147332.55,584957.02,794933.43,518409.7,937770.09,5227179.82,117672.2,32391169.72,1898300.15,6282622.11,40572091.98
66,1374052.253,3762909.808,1204594.593,100671.51,209506.12,39582.63,104986.72,234861.67,175018.79,6341556.653,349760.26,514867.18,7206184.093
67,624309.7639,2138569.133,984604.0746,27234.85,143023.56,86092.55,62857.02,116208.88,173640.33,3747482.971,256350.96,352706.23,4356540.161
68,1768573.616,3579723.676,1405542.934,173214.49,114022,84438,36364.4,366175.95,260071.75,6753840.226,371674.49,662612.1,7788126.816
69,4447221.696,5004847.72,829024.6245,128933.44,656010.62,342612.48,440047.29,655979.09,181420.99,10281094.04,1127556.54,1277447.37,12686097.95
